Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Hashing/hashing len=256,3.9217895642516573e-7,3.915476676841633e-7,3.927949255593081e-7,1.9886774966793234e-9,1.6526294669783004e-9,2.4654008831372706e-9
Proof Generation/500/256,2.1755666503550544e-3,2.1596816758864008e-3,2.1914442676340823e-3,5.361710677523378e-5,4.529330099510546e-5,6.86005284867651e-5
Proof Generation/1000/256,3.2549735536203583e-3,3.2326722804049126e-3,3.277504558314541e-3,7.044244632661925e-5,5.89971903722697e-5,8.905331702443081e-5
Proof Generation/1500/256,5.385308434387019e-3,5.351497392399412e-3,5.417317058709091e-3,1.025100869084821e-4,8.46420134437254e-5,1.2781577760015555e-4
Proof Generation/2000/256,3.8764943782916292e-3,3.8593552509950837e-3,3.8960661047608438e-3,5.6227614018449626e-5,4.6451776035098087e-5,7.531533851565071e-5
Proof Generation/2500/256,4.490403067779566e-3,4.473535977649143e-3,4.509908884421825e-3,5.412647026083778e-5,4.429485907305701e-5,6.631765041098516e-5
Proof Generation/3000/256,7.244113592948182e-3,7.1571301718619425e-3,7.311422123207799e-3,2.2070988323240188e-4,1.7945242111469604e-4,3.2502241021040444e-4
Proof Generation/3500/256,1.3886981673401065e-2,1.3685498935573226e-2,1.4020525394764017e-2,4.0895264404177463e-4,2.753897123263282e-4,6.138712688801634e-4
Proof Generation/4000/256,1.9137720258739617e-2,1.9022190464777072e-2,1.9282838267032358e-2,3.2888278334795525e-4,2.533074330690629e-4,4.312488518879043e-4
Proof Generation/4500/256,9.481354247754705e-3,9.403709015760193e-3,9.546049815464504e-3,1.9390181332327655e-4,1.5814617357425535e-4,2.404643026860291e-4
Proof Generation/5000/256,1.0652919139148663e-2,1.0571490342507164e-2,1.077834724993916e-2,2.648139084019759e-4,1.914516291960644e-4,3.8490215551376697e-4
Proof Generation/5500/256,2.7133532303937946e-2,2.6870042258144787e-2,2.7329042550167524e-2,4.7853052939452823e-4,3.3437660407145654e-4,7.57424512034905e-4
Proof Generation/6000/256,1.94053305547225e-2,1.926750267691645e-2,1.9523355705209206e-2,3.006651614323397e-4,2.4070730028388939e-4,3.7725042479295877e-4
Proof Generation/6500/256,3.148019956452542e-2,3.1243715754556395e-2,3.188053317192599e-2,6.495031842673932e-4,3.9520177083796033e-4,9.292125147081804e-4
Proof Generation/7000/256,2.0023726010019404e-2,1.994893963109402e-2,2.0127149750678093e-2,2.0953532503890452e-4,1.4594173596414002e-4,3.487824503256952e-4
Proof Generation/7500/256,2.853752300017053e-2,2.8382882461634125e-2,2.8664500785156376e-2,3.0096117156876585e-4,1.9392287420772695e-4,4.751019978155124e-4
Proof Generation/8000/256,1.5365031878954672e-2,1.5237981381500842e-2,1.5540893262393458e-2,3.7194843217400685e-4,2.3277390045082778e-4,5.759726939856005e-4
Proof Generation/8500/256,3.3428887633769055e-2,3.3235601114557485e-2,3.365228870799332e-2,4.819111179077519e-4,3.2900524717531456e-4,7.398764694346222e-4
Proof Generation/9000/256,3.169287505391047e-2,3.139331462406081e-2,3.201487425758564e-2,6.456418197719963e-4,4.5684450497065045e-4,8.566482128338895e-4
Proof Generation/9500/256,3.090574424074893e-2,3.0379300424541813e-2,3.205031982411193e-2,1.6677078106595341e-3,7.121713600181368e-4,3.0232711527439123e-3
Proof Generation/10000/256,1.9502067018480403e-2,1.931078322618336e-2,1.9838452094307003e-2,6.211013803331816e-4,3.3199742714780644e-4,1.0539604467690981e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Hashing/hashing len=256,3.962408293139636e-7,3.942626995001341e-7,4.028222402668627e-7,1.1318124651213024e-8,5.528214125527418e-9,2.1754137106976686e-8
Proof Generation/1000/256,1.5009676546691348e-3,1.4953935705850556e-3,1.5088574196713124e-3,2.240584102526665e-5,1.7154688262412238e-5,3.335314508727319e-5
Proof Generation/2000/256,3.8996808091640535e-3,3.8745873826947197e-3,3.925079415055057e-3,7.9152923686883e-5,6.920994486527223e-5,9.448382457646109e-5
Proof Generation/3000/256,7.887585804484143e-3,7.835456425705455e-3,7.978547596007633e-3,1.8029687252203656e-4,1.2594547787089206e-4,2.8889855521204463e-4
Proof Generation/4000/256,1.6752111538889454e-2,1.6577446901639762e-2,1.6917163231689795e-2,4.200675525361807e-4,3.486042727925981e-4,5.339048307159252e-4
Proof Generation/5000/256,1.3859348182524553e-2,1.3705262015116558e-2,1.3984605987806993e-2,3.458850375190291e-4,2.628973065317314e-4,5.250569188900844e-4
Proof Generation/6000/256,1.5237635220143752e-2,1.5123099441652736e-2,1.542771361366089e-2,3.513908557845304e-4,2.205943982837981e-4,5.75589174727858e-4
Proof Generation/7000/256,2.764195017017488e-2,2.747075899820886e-2,2.783290637434644e-2,3.915671323474826e-4,2.926461414006944e-4,4.979302513044958e-4
Proof Generation/8000/256,2.1761862933743496e-2,2.155293173344732e-2,2.2144137873059994e-2,6.430267787592486e-4,3.944272336087171e-4,1.0689455292480711e-3
Proof Generation/9000/256,2.5387029335904948e-2,2.5201914980855555e-2,2.560966312501602e-2,4.3699191327701317e-4,3.1548489672465155e-4,6.116330769141082e-4
Proof Generation/10000/256,2.9070443799811586e-2,2.8879140533091464e-2,2.9344295762429747e-2,4.900655485140323e-4,3.0821389629163103e-4,8.296369734929857e-4
Proof Generation/11000/256,4.3155978612401245e-2,4.2735205536856856e-2,4.3724713749576864e-2,9.354105518561832e-4,6.17704738414866e-4,1.4473783953466172e-3
