Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Hashing/hashing len=256,3.9186689578695395e-7,3.913230067011093e-7,3.924596436197588e-7,1.944874798724033e-9,1.6474366592869898e-9,2.290341652699278e-9
Proof Generation/5000/256,1.018166019487796e-2,1.0074842888869099e-2,1.0291262942134956e-2,2.924562436834655e-4,2.387994323090048e-4,3.642457381350219e-4
Proof Generation/5000/256,1.2520758168081783e-2,1.2391135805541131e-2,1.2660166861961268e-2,3.4298880229026365e-4,2.720763952544279e-4,4.722766280770158e-4
Proof Generation/5000/256,1.9603279425155006e-2,1.9507331867834172e-2,1.9699876030990337e-2,2.2972469363293402e-4,1.838524434210539e-4,3.298561830829285e-4
Proof Generation/5000/256,1.819187985359287e-2,1.806604558894978e-2,1.8334999805125228e-2,3.3999202354775896e-4,2.690147685687397e-4,4.432940353898633e-4
Proof Generation/5000/256,1.4574425163918612e-2,1.4446306364288468e-2,1.4714309638321597e-2,3.578125324563517e-4,2.9589413017870646e-4,4.4961168040081776e-4
Proof Generation/5000/256,1.4942026760574491e-2,1.483855507331148e-2,1.5039785011158094e-2,2.5726079417276904e-4,1.98554217212278e-4,3.4308653496617584e-4
Proof Generation/5000/256,9.98141948568171e-3,9.885371450845054e-3,1.0082482851805142e-2,2.88824237656135e-4,2.4406063998703273e-4,3.679749738131936e-4
Proof Generation/5000/256,1.2743145058798484e-2,1.2617788650297944e-2,1.2898636749486294e-2,3.5213281103408896e-4,2.7235933318148366e-4,5.27597645907609e-4
Proof Generation/5000/256,2.6458477977182846e-2,2.6283324145823822e-2,2.6641321918657285e-2,3.795270895800511e-4,2.935759516252669e-4,5.026903773041314e-4
Proof Generation/5000/256,1.0947587802877315e-2,1.0894389110705137e-2,1.1018062991925159e-2,1.5793387747445163e-4,1.2235955049094604e-4,2.4069742071037577e-4
